code_site,code_station
Y5105010,Y510501001
Y5106610,Y510661001
Y5115020,Y511502002
Y5215020,Y521502002
Y5235010,Y523501002
Y5235010,Y523501001
Y5312010,Y531201001
Y5444010,Y544401001
Y5514040,Y551404001
Y5534030,Y553403001
Y5605210,Y560521003
Y5615010,Y561501001
Y5615030,Y561503001
Y5616215,Y561621502
Y5625113,Y562511301
Y6042010,Y604201001
Y6434010,Y643401001
Y6442010,Y644201002
Y6614010,Y661401002
Y6614010,Y661401004
Y6635010,Y663501001
